,ASG002_BC3C_24H:A10,ASG002_BC3C_24H:A11,ASG002_BC3C_24H:A19,ASG002_BC3C_24H:A20,ASG002_BC3C_24H:A21,ASG002_BC3C_24H:B10,ASG002_BC3C_24H:B11,ASG002_BC3C_24H:B12,ASG002_BC3C_24H:B14,ASG002_BC3C_24H:B15,ASG002_BC3C_24H:C16,ASG002_BC3C_24H:C17,ASG002_BC3C_24H:C18,ASG002_BC3C_24H:E19,ASG002_BC3C_24H:E20,ASG002_BC3C_24H:E21,ASG002_BC3C_24H:E22,ASG002_BC3C_24H:E23,ASG002_BC3C_24H:E24,ASG002_BC3C_24H:F01,ASG002_BC3C_24H:F02,ASG002_BC3C_24H:F03,ASG002_BC3C_24H:F04,ASG002_BC3C_24H:F05,ASG002_BC3C_24H:F06,ASG002_BC3C_24H:F13,ASG002_BC3C_24H:F14,ASG002_BC3C_24H:F15,ASG002_BC3C_24H:F16,ASG002_BC3C_24H:F17,ASG002_BC3C_24H:F18,ASG002_BC3C_24H:G01,ASG002_BC3C_24H:G02,ASG002_BC3C_24H:G03,ASG002_BC3C_24H:H16,ASG002_BC3C_24H:H17,ASG002_BC3C_24H:H18,ASG002_BC3C_24H:I05,ASG002_BC3C_24H:I06,ASG002_BC3C_24H:I13,ASG002_BC3C_24H:I14,ASG002_BC3C_24H:I15,ASG002_BC3C_24H:I19,ASG002_BC3C_24H:I20,ASG002_BC3C_24H:I21,ASG002_BC3C_24H:L01,ASG002_BC3C_24H:L02,ASG002_BC3C_24H:L03,ASG002_BC3C_24H:L07,ASG002_BC3C_24H:L08,ASG002_BC3C_24H:L09,ASG002_BC3C_24H:L16,ASG002_BC3C_24H:L17,ASG002_BC3C_24H:L18,ASG002_BC3C_24H:M22,ASG002_BC3C_24H:M23,ASG002_BC3C_24H:M24,ASG002_BC3C_24H:N13,ASG002_BC3C_24H:N14,ASG002_BC3C_24H:N15,ASG002_BC3C_24H:N19,ASG002_BC3C_24H:N20,ASG002_BC3C_24H:N21,ASG002_BC3C_24H:N22,ASG002_BC3C_24H:N23,ASG002_BC3C_24H:N24,ASG002_BC3C_24H:O10,ASG002_BC3C_24H:O11,ASG002_BC3C_24H:O12,ASG002_BC3C_24H:O22,ASG002_BC3C_24H:O23,ASG002_BC3C_24H:O24,ASG002_BC3C_24H:P07,ASG002_BC3C_24H:P08,ASG002_BC3C_24H:P09,ASG002_BC3C_24H:P20,ASG002_BC3C_24H:P21,MOAR008_BC3C_24H:L01,MOAR008_BC3C_24H:L02,MOAR008_BC3C_24H:L03,MOAR010_BC3C_24H:A13,MOAR010_BC3C_24H:A14,MOAR010_BC3C_24H:A15,MOAR010_BC3C_24H:D01,MOAR010_BC3C_24H:D02,MOAR010_BC3C_24H:D03,MOAR010_BC3C_24H:K07,MOAR010_BC3C_24H:K08,MOAR010_BC3C_24H:K09,MOAR010_BC3C_24H:L19,MOAR010_BC3C_24H:L20,MOAR010_BC3C_24H:L21,MOAR011_BC3C_24H:C01,MOAR011_BC3C_24H:C02,MOAR011_BC3C_24H:C03,MOAR011_BC3C_24H:C10,MOAR011_BC3C_24H:C11,MOAR011_BC3C_24H:J10
blca_inv,0.5732394567159274,-0.08994766005275065,0.7094314435196425,0.14643542932291606,0.48132980798957387,-0.17915322908229458,0.5087236809679411,0.6078644361680127,0.743499630446474,0.5503388040411222,0.9898526150236151,0.10189179105173386,0.4374121713659153,1.2431144971414196,0.710773702584524,0.4819342109095261,0.3722190897432762,-0.33134746186510583,0.21530411491255383,0.6459612658818298,0.22149040423828775,0.145725720579269,-0.2555029135411593,0.11806334455932324,0.22952926267752474,0.10247062285232537,0.2275975484265296,-0.2936269423150232,0.384451262642422,0.9463622237752113,-0.12189839461838636,0.9388453145768648,0.0047945958193443584,-0.19300239583491233,0.5875396805120681,-0.5557759462374907,-0.033492337870447586,-0.11065428462741633,0.07271047447904164,0.5799554024049243,-0.19794245607998182,0.5323490985055352,-0.269500264734421,-0.1985995791573528,-0.9947196947689579,0.39801522542484435,0.3489502321457335,0.28170727690264924,0.8484040494196484,0.3977847709839487,-0.05457621553559059,-0.36236127644082866,0.012047203348594604,-0.07863866968507079,0.03624403679728779,0.27908408069744495,-0.7496601855788919,0.8903198884642166,-0.11154694494769533,-0.03714455862722752,1.3637307085299988,0.31068623011057855,0.21990914473464832,0.7411033723649468,0.04723109192676426,-0.6519048733668386,0.26664610748050144,-0.12646722099430227,0.7136657537160106,0.24312600671581613,-0.10828454170198838,-0.49547135388810876,0.20231970236006494,-0.042804582259612145,-0.45030603290698445,0.08534286841742787,0.21748313265894004,-0.09802457023767984,0.14807721701312002,-1.273113907817696,0.16971249699052884,-0.07921907431740036,0.022895435332567535,1.7357050274868173,1.3714923639354994,0.3135699586941761,0.8394632822602388,0.4793568505687841,-0.5097119373278217,-0.4221475809042112,-0.013447896180385565,-0.7280835522983524,0.16971764146167762,0.9285788368952893,0.6660074489757134,0.4680026055525322,-0.33136491107620664,1.0722330122567607
blca_onc,-0.5724501002039496,-1.4756427479724,-0.6115499211038213,-0.8427292933479504,0.14705419808716197,0.40072709976093945,0.3113473530960822,-0.03848359092836137,0.2283398360283478,-0.29514472689318794,-0.4750317421952152,-0.003053216103519305,-0.48650359556800943,0.6453585771191447,-0.3806301930504002,-0.34235019529373045,0.25149343569466887,0.002685658261471196,-0.6086952648098918,-0.39926587796231766,0.009420128029104191,0.2256689287632922,-2.499445086030481,-0.20478787908138688,0.33735420953026873,0.8754053509123454,0.8885437515559633,-0.27895417845548603,0.21959784854328215,-0.41877557541065213,0.06745184131190328,-1.2951287251878398,0.45532740026910884,-0.4592947773029957,0.3324979389967354,0.7081846686165731,-0.2716925425548914,-0.31866801922588106,0.43008859974589914,0.027239723897792605,0.027521378995303884,0.6731982285004318,-2.4987020118603085,-0.022347315744285366,0.022814389460908302,-0.7691177665351855,-0.7092649585425783,-0.8122492906210453,-0.9768694199375262,-0.1405623547020861,-0.7459655344176684,0.15761004947649773,-0.10381329927546383,-0.5411393380425398,-0.04524218941333639,-0.3019710015452752,-0.13873462779596069,-0.7719721576122757,0.3333797687728926,-0.021451863001043396,-1.0944735364347629,-0.12048537554804198,-0.4622285503076387,-0.6329003973504803,-0.2933223711997554,-0.4915232934580692,-0.14542291956903036,-0.2203098564444509,0.43542909050936124,-1.0574814266091883,-0.25666267785279806,0.8160389229046763,-0.9557199836531831,0.02687932506917198,0.11414197323357081,0.14977233446354504,-0.46221295760020087,-0.3767432662482958,-0.19918128799877638,-0.1419232464287128,-0.12842321084884584,0.02236905003872339,-0.2944198106194825,-0.3036243360498602,-0.35168950141745847,0.3179655287584156,1.47517042015507,0.22182130133223757,-0.21967302552277035,-0.11374225092949627,-0.3458630535360313,0.36997008163787426,0.0780379386783445,0.03748976099434255,0.32628568886664766,0.2523141825182414,-0.15654927934530619,0.4030241144784924
surv_coef,-16.52494821082832,-6.084704530053402,9.760916681772596,0.2719409006032868,-7.3396973075310274,1.1196399568969406,-3.931059726600963,-26.153101035594887,-4.185279741539845,0.7958656480542099,2.6111215078776433,18.51925050331532,-6.654686751828009,-0.11677635270993872,-18.70052353425543,6.7299831476311756,-9.570904370795434,-5.539184631574205,3.498255150767597,-5.344578747346692,-4.843798981664926,-2.064161303246255,30.760582981249218,-6.035652120309617,-20.1214855006964,17.126472071017137,6.257674785422802,-2.991596609213744,1.1471403997151157,0.863256958123986,-5.176429536392713,-27.409989229305864,-16.083667056388347,10.888675412306062,0.6382451388400459,0.8129318298403803,8.117153430639483,-1.772809824049909,-4.118328074249582,-0.589886397160353,5.444495770652298,1.530802888858236,6.599810034785098,2.3841043950730896,4.0003979187926255,-14.37463541335322,-9.801216809327153,-10.984214654042962,-6.238054571910923,-8.866242476522814,0.6979155901827774,6.824198057420392,-4.060300784542051,7.198669762648119,11.072633422962465,-9.700574293493045,12.880559304808493,-20.639834301444612,-0.8215918524172805,4.766986839378666,-6.739580305028463,2.483273516682232,0.26593889395017994,-0.7980105941806264,-6.3541315342605476,-5.690420964495219,-14.20799711444701,3.256424041907877,0.180444647175987,-6.202297685245024,-3.425164713058926,2.6672182777710107,-33.72416081402585,-17.245507260247,-10.377495145832281,-23.90476379276807,-3.119308310056504,17.599951404884077,-1.1958613955551791,-9.838336562424061,-12.829380372882884,8.754684985092,13.213133263107741,5.218490658486363,14.301785727298283,-9.801328136482564,8.440279610493766,6.910202509548687,-9.906121907686519,7.4942688589246105,14.905216095696138,11.938357975420567,7.994364843249793,0.242243140980898,6.529284967299751,10.0652474776303,-3.8922370478922663,6.7544633152388895
